N	eigenvalue	difference	twstat	p-value	effect.n
483	0.182962	-0.000643	-13.697	1	545.743
484	0.181159	-0.001803	-13.911	1	543.631
485	0.178967	-0.002192	-14.271	1	541.427
486	0.178680	-0.000287	-13.965	1	539.078
487	0.178418	-0.000262	-13.643	1	536.822
488	0.177357	-0.001061	-13.599	1	534.666
489	0.175450	-0.001906	-13.859	1	532.509
490	0.174353	-0.001098	-13.837	1	530.241
491	0.174159	-0.000194	-13.490	1	527.965
492	0.172996	-0.001163	-13.485	1	525.799
493	0.172920	-0.000076	-13.087	1	523.618
494	0.172084	-0.000836	-12.956	1	521.568
495	0.171396	-0.000688	-12.768	1	519.552
496	0.171111	-0.000285	-12.428	1	517.592
497	0.170661	-0.000450	-12.139	1	515.747
498	0.170333	-0.000328	-11.798	1	513.999
499	0.170133	-0.000200	-11.399	1	512.373
500	0.167877	-0.002256	-11.757	1	510.895
501	0.166609	-0.001268	-11.760	1	509.255
502	0.165085	-0.001525	-11.861	1	507.598
503	0.164780	-0.000305	-11.507	1	505.883
504	0.164003	-0.000777	-11.322	1	504.299
505	0.163101	-0.000901	-11.181	1	502.777
506	0.161638	-0.001463	-11.252	1	501.299
507	0.160417	-0.001221	-11.235	1	499.776
508	0.157381	-0.003036	-11.923	1	498.243
509	0.154559	-0.002822	-12.555	1	496.403
510	0.152741	-0.001818	-12.820	1	494.284
511	0.149678	-0.003063	-13.583	1	492.040
512	0.147576	-0.002101	-13.994	1	489.474
513	0.146517	-0.001059	-14.009	1	486.731
514	0.144710	-0.001807	-14.321	1	483.962
515	0.142280	-0.002430	-14.889	1	481.055
516	0.141437	-0.000843	-14.846	1	477.919
517	0.140365	-0.001072	-14.895	1	474.778
518	0.139483	-0.000882	-14.870	1	471.600
519	0.138496	-0.000986	-14.887	1	468.410
520	0.137081	-0.001415	-15.077	1	465.194
521	0.136291	-0.000790	-15.024	1	461.890
522	0.135375	-0.000916	-15.021	1	458.584
523	0.134934	-0.000441	-14.829	1	455.259
524	0.133261	-0.001674	-15.126	1	451.984
525	0.131297	-0.001964	-15.549	1	448.581
526	0.131054	-0.000243	-15.294	1	445.009
527	0.130354	-0.000699	-15.217	1	441.508
528	0.129553	-0.000801	-15.179	1	438.013
529	0.128967	-0.000587	-15.056	1	434.512
530	0.128411	-0.000556	-14.918	1	431.034
531	0.128094	-0.000317	-14.682	1	427.584
532	0.127053	-0.001041	-14.733	1	424.200
533	0.126670	-0.000383	-14.521	1	420.776
534	0.126340	-0.000329	-14.282	1	417.408
535	0.125760	-0.000580	-14.140	1	414.107
536	0.125623	-0.000138	-13.816	1	410.837
537	0.124962	-0.000660	-13.696	1	407.668
538	0.122869	-0.002094	-14.155	1	404.522
539	0.122096	-0.000773	-14.093	1	401.182
540	0.121564	-0.000532	-13.932	1	397.843
541	0.119781	-0.001783	-14.277	1	394.543
542	0.119591	-0.000190	-13.985	1	391.093
543	0.118288	-0.001303	-14.139	1	387.730
544	0.117843	-0.000446	-13.949	1	384.288
545	0.115987	-0.001856	-14.331	1	380.895
546	0.115292	-0.000695	-14.250	1	377.340
547	0.114522	-0.000770	-14.200	1	373.794
548	0.113617	-0.000905	-14.204	1	370.244
549	0.112425	-0.001192	-14.327	1	366.672
550	0.111360	-0.001065	-14.403	1	363.035
551	0.110446	-0.000914	-14.420	1	359.350
